"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"5";"208";"2.4";"****";""
"3";" 3";"100.00";"123.582";"évoquer";"1.039753e-28"
"3";" 3";"100.00";"123.582";"développer";"1.039753e-28"
"1";" 4";" 25.00";"  8.876";"appliquer";"2.889260e-03"
"1";"11";"  9.09";"  2.214";"voir";"1.367891e-01"
"*****";"*";"*";"*";"*";"*"
"4";"97";"4.12";"2.292";"avoir";"0.1300657"
"*";"*";"*";"*";"*";"*"
"2";"19";"10.53";"5.88";"*loc_chirac";"0.0153121"
"2";"19";"10.53";"5.88";"*date_2006";"0.0153121"
"**";"classe";"2";"**";"";""
"****";"4";"208";"1.92";"****";""
"4";"4";"100.00";"208.000";"choisir";"3.751620e-47"
"1";"3";" 33.33";" 15.922";"établir";"6.599092e-05"
"1";"3";" 33.33";" 15.922";"élever";"6.599092e-05"
"1";"3";" 33.33";" 15.922";"réserver";"6.599092e-05"
"1";"3";" 33.33";" 15.922";"comporter";"6.599092e-05"
"1";"3";" 33.33";" 15.922";"arrêter";"6.599092e-05"
"1";"5";" 20.00";"  8.876";"partir";"2.889260e-03"
"1";"5";" 20.00";"  8.876";"convenir";"2.889260e-03"
"1";"7";" 14.29";"  5.870";"appeler";"1.540271e-02"
"1";"8";" 12.50";"  4.935";"vivre";"2.631956e-02"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"4";"124";"3.23";"2.763";"*loc_mitterand";"0.09647874"
"4";"124";"3.23";"2.763";"*date_1982";"0.09647874"
"**";"classe";"3";"**";"";""
"****";"6";"208";"2.88";"****";""
"4";"4";"100.00";"137.307";"partager";"1.033020e-31"
"4";"5";" 80.00";"108.754";"réduire";"1.837728e-25"
"1";"6";" 16.67";"  4.189";"définir";"4.068602e-02"
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
"**";"classe";"4";"**";"";""
"****";"193";"208";"92.79";"****";""
"30";"30";"100.00";"2.725";"devoir";"0.09881451"
"48";"49";" 97.96";"2.561";"faire";"0.10951571"
"23";"23";"100.00";"2.010";"vouloir";"0.15628566"
"*****";"*";"*";"*";"*";"*"
"137";"144";"95.14";"3.864";"être";"0.04933768"
"*";"*";"*";"*";"*";"*"
