MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,AvgPriceRadius_1km,AvgPriceRadius_2km,AvgPriceRadius_5km,AvgPriceRadius_10km,AvgPriceRadius_100km
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,4.526,4.75,4.75,2.953818595041322,2.4368399498746864,2.470687346978941
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,2.113994508399868,4.036336666666667,3.024496946564885,2.2967567672413796,2.4864661023310943
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,3.6470014285714285,3.3492315384615385,2.5130674162679427,2.2331405731225296,2.501647772691083
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,2.9464175000000004,2.656214761904762,2.424745787037037,2.2325471656686626,2.5057326424145514
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,2.9456675000000003,2.656000476190476,2.4247041203703703,2.232529201596807,2.505730843493904
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,3.0060841666666662,2.673262380952381,2.428060601851852,2.23397630738523,2.5058757565460725
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,2.992,2.2203749999999998,2.459744418604651,2.255913991769547,2.22022438697318,2.5097769281437126
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,2.292625,2.4731862790697674,2.2582925925925923,2.2213316666666665,2.5098922974051896
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,1.7323333333333337,1.8304807692307696,2.200500406504065,2.218886731898239,2.5150526082598232
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,2.268,2.4686048837209302,2.257481893004115,2.2209542720306517,2.5098529760479042
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,2.815,1.9669999999999999,2.2300001785714287,2.353384330357143,2.239032585858586,2.5099304455147498
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,1.9890555555555554,2.237089464285714,2.3551566517857148,2.239834606060606,2.5100101163957453
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,2.0047777777777775,2.2421430357142857,2.3564200446428574,2.2404063232323232,2.5100669094922736
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,1.7618333333333336,1.837288461538462,2.201939430894309,2.219579491193738,2.5151235785886126
