"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"14";"232";"6.03";"****";""
"7";" 7";"100.00";"112.391";"victime";"2.933409e-26"
"8";"12";" 66.67";" 82.044";"violence";"1.331213e-19"
"3";" 3";"100.00";" 47.326";"évoquer";"6.010153e-12"
"3";" 3";"100.00";" 47.326";"guerre";"6.010153e-12"
"2";" 3";" 66.67";" 19.705";"récemment";"9.037496e-06"
"2";" 3";" 66.67";" 19.705";"développer";"9.037496e-06"
"1";" 3";" 33.33";"  3.994";"viol";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"valeur";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"naturellement";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"modifier";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"mixité";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"marquer";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"manière";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"inspirer";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"heureux";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"convention";"4.565111e-02"
"1";" 3";" 33.33";"  3.994";"conseil";"4.565111e-02"
"2";"11";" 18.18";"  3.005";"france";"8.300890e-02"
"2";"11";" 18.18";"  3.005";"cas";"8.300890e-02"
"1";" 4";" 25.00";"  2.582";"acte";"1.080941e-01"
"1";" 4";" 25.00";"  2.582";"école";"1.080941e-01"
"1";" 4";" 25.00";"  2.582";"voter";"1.080941e-01"
"1";" 4";" 25.00";"  2.582";"saluer";"1.080941e-01"
"1";" 4";" 25.00";"  2.582";"oublier";"1.080941e-01"
"1";" 4";" 25.00";"  2.582";"humain";"1.080941e-01"
"1";" 4";" 25.00";"  2.582";"disposition";"1.080941e-01"
"2";"13";" 15.38";"  2.123";"vie";"1.450723e-01"
"*****";"*";"*";"*";"*";"*"
"2";"6";"33.33";"8.095";"d_abord";"0.004439023"
"2";"9";"22.22";"4.327";"toujours";"0.037511738"
"1";"3";"33.33";"3.994";"parfois";"0.045651114"
"1";"4";"25.00";"2.582";"tant";"0.108094064"
"*";"*";"*";"*";"*";"*"
"5";"22";"22.73";"11.944";"*loc_chirac";"0.0005483103"
"5";"22";"22.73";"11.944";"*date_2006";"0.0005483103"
"8";"72";"11.11";" 4.745";"*loc_hollande";"0.0293823475"
"8";"72";"11.11";" 4.745";"*date_2017";"0.0293823475"
"**";"classe";"2";"**";"";""
"****";"103";"232";"44.4";"****";""
"17";"18";" 94.44";"19.800";"égalité";"8.597826e-06"
"15";"17";" 88.24";"14.281";"professionnel";"1.574323e-04"
" 7";" 7";"100.00";" 9.040";"entendre";"2.641730e-03"
" 7";" 7";"100.00";" 9.040";"dernier";"2.641730e-03"
" 9";"10";" 90.00";" 8.804";"année";"3.005729e-03"
" 6";" 6";"100.00";" 7.714";"autonomie";"5.479224e-03"
" 6";" 6";"100.00";" 7.714";"principe";"5.479224e-03"
" 9";"11";" 81.82";" 6.551";"voir";"1.048472e-02"
"12";"16";" 75.00";" 6.520";"loi";"1.066713e-02"
" 5";" 5";"100.00";" 6.400";"exigence";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"statut";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"responsabilité";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"reconnaître";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"objectif";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"jour";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"essentiel";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"donner";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"discrimination";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"cours";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"assurer";"1.141160e-02"
" 5";" 5";"100.00";" 6.400";"activité";"1.141160e-02"
"10";"13";" 76.92";" 5.902";"vie";"1.512226e-02"
"10";"13";" 76.92";" 5.902";"travail";"1.512226e-02"
" 4";" 4";"100.00";" 5.098";"imposer";"2.395899e-02"
" 4";" 4";"100.00";" 5.098";"étape";"2.395899e-02"
" 4";" 4";"100.00";" 5.098";"prochain";"2.395899e-02"
" 4";" 4";"100.00";" 5.098";"façon";"2.395899e-02"
" 4";" 4";"100.00";" 5.098";"disparaître";"2.395899e-02"
" 6";" 7";" 85.71";" 4.991";"nom";"2.547306e-02"
" 7";" 9";" 77.78";" 4.226";"problème";"3.979780e-02"
"11";"16";" 68.75";" 4.129";"premier";"4.215916e-02"
" 3";" 3";"100.00";" 3.807";"égal";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"part";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"décision";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"à_juste_titre";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"traitement";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"simple";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"réduction";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"règle";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"présenter";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"pierremauroy";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"occidental";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"européen";"5.105392e-02"
" 3";" 3";"100.00";" 3.807";"concrétiser";"5.105392e-02"
" 5";" 6";" 83.33";" 3.783";"nombre";"5.178556e-02"
" 5";" 6";" 83.33";" 3.783";"mener";"5.178556e-02"
" 5";" 6";" 83.33";" 3.783";"réforme";"5.178556e-02"
" 5";" 6";" 83.33";" 3.783";"exemple";"5.178556e-02"
" 5";" 6";" 83.33";" 3.783";"définir";"5.178556e-02"
" 6";" 8";" 75.00";" 3.144";"venir";"7.622795e-02"
" 4";" 5";" 80.00";" 2.624";"projet";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"tenir";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"salaire";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"réaliser";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"respecter";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"parler";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"moyen";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"mois";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"engagement";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"constituer";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"commencer";"1.052582e-01"
" 4";" 5";" 80.00";" 2.624";"affirmer";"1.052582e-01"
" 8";"12";" 66.67";" 2.542";"ministre";"1.108276e-01"
