"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"femme";-0,0175183315727043;0,0765627222832932;0,160438094344831;0,101556150703453;-0,0852548999664995;0,372600963872349;0,78078974743785;0,494234250178028;0,00919317617135196;0,162746165163704;0,610638812770034;0,217421845894912;2,02784055470298e-05;0,000387331710716231;0,00170083940832099;0,000681492032754375;0,0660766961651917;0,116816722191899;0,000901692281634127
"droit";0,229398886270003;-0,228115170963868;-0,143510666948199;0,263780529619692;0,519704956929332;-0,516796689941937;-0,325124529582193;0,597596836732004;0,316765529566238;0,290308382157903;0,0981777302751829;0,294748358000674;0,00152127941125308;0,00150430090263709;0,000595380687237719;0,00201146207818043;0,0289085545722714;0,260595800404584;0,00196318488981521
"égalité";-0,908297400386763;-1,23505530188203;-0,251986690813265;-0,125229985578819;-0,58272753944641;-0,792362431995846;-0,161664653282428;-0,0803425852921975;0,35868753889257;0,614651416779483;0,0218627440232154;0,00479830030473856;0,00876110620406391;0,0161985302517549;0,000674307529348884;0,000166540346421996;0,0106194690265487;0,969649977998449;0,00998464863538825
"agir";0,176502080924024;-0,240728269417978;-0,344212481064685;-0,0872693292288013;0,380476145254863;-0,518925122709754;-0,742000531996434;-0,188121849952832;0,169261717095568;0,291816067939378;0,509802107371125;0,029120107593932;0,000330828154731088;0,000615399288817429;0,00125821839420219;8,08771945916274e-05;0,0106194690265487;0,27429350506545;0,000798976215091224
"prendre";-0,336412982287175;-0,141030252424744;-0,315378231185574;-0,207086595836222;-0,64103493901698;-0,268733146527239;-0,600953220713548;-0,39460350914694;0,470467260029629;0,0766309853775893;0,327443711979665;0,125458042613116;0,00126861368635733;0,000222950507304279;0,00111492928932689;0,000480715224380922;0,0112094395280236;0,313583432258698;0,00110227540457567
"loi";-0,832185308164945;-0,518572220060432;-0,104611448121731;0,0481247234562913;-0,842912586174238;-0,525256871084555;-0,105959941150803;0,0487450748162239;0,727398860420997;0,261786324169314;0,00910291049486953;0,00171190491481976;0,00653717887552173;0,00253845094908229;0,000103301994837763;2,18618431409512e-05;0,00943952802359882;0,623848020548159;0,00367373548310897
"permettre";0,831356350787113;0,162903965890922;0,77965871897218;0,210034036767826;0,710360420627073;0,139194858645792;0,666186882472574;0,179465600477022;0,562743506533595;0,0200260502268108;0,391953413993534;0,0252770292460612;0,00733968193268034;0,000281816305518486;0,00645523240427618;0,000468470406382177;0,0106194690265487;0,708560662708898;0,0053315916397006
"professionnel";-0,761090166104585;-1,10726890257035;-0,223637514666875;-0,0505377406209314;-0,558378123945146;-0,812354120517007;-0,16407293306991;-0,0370773005001149;0,329688380094132;0,646745710691444;0,0225429138141777;0,00102299540024647;0,00580966967315562;0,0122966107281351;0,000501612711167198;2,5615973368829e-05;0,0100294985250737;0,847479800223729;0,00720340660789574
"premier";-0,614022019147169;-0,210742886623582;-0,740154734450317;-0,994218419350535;-0,438840805874236;-0,150617690105979;-0,528987707295815;-0,710566720341382;0,243609420615941;0,0265967130901257;0,280324171731297;0,449469694562636;0,00355891955159945;0,000419233644955187;0,00517124748959735;0,00933069277050974;0,00943952802359882;0,795393378650324;0,0059719233208333
"vie";-1,44029326964878;-0,0958507278806773;-0,0277490715915554;-0,0635047895092633;-0,99664491823656;-0,0663261731930799;-0,0192016249539582;-0,0439436377867152;0,994266262874129;0,00408119741317399;0,000292271906317731;0,00136026780637935;0,0159101953591401;7,04635436332292e-05;5,90568888761796e-06;3,09304765651953e-05;0,00766961651917404;0,923516469748888;0,00654128301396274
"homme";-0,150954918750843;-0,577627905423257;-0,106137639849612;0,259041958875559;-0,228927437312861;-0,875989184076874;-0,160960756325612;0,392844514724063;0,0587048148107605;0,796657131851581;0,0229830336973035;0,121655019640354;0,000215102182844353;0,00314953625603454;0,000106338157808575;0,000633418161256278;0,00943952802359882;0,398341425211953;0,00149782552014055
"violence";-3,16970892187663;3,73960958525188;0,728164676594634;0,164522498517031;-0,639217593314327;0,754146294797517;0,146844926010983;0,0331783384973574;0,428495114806129;0,552784135360829;0,0179083528158174;0,000812397017223786;0,0711295904384024;0,0990065830096121;0,00375379678754102;0,000191629398359551;0,00707964601769911;3,09593269125301;0,0678569856904006
"politique";0,573413115713155;-0,0834460977215059;0,869308560158348;-0,0303307143263457;0,54863071851644;-0,0798396327112344;0,831737828980434;-0,0290198482350448;0,351898928108603;0,00690701970449598;0,640501171280642;0,000692880906258972;0,00290975753337937;6,16216922561692e-05;0,00668758736959805;8,14117019067606e-06;0,00884955752212389;0,618021687743491;0,00338009563293197
"pays";0,601321726887507;0,0754019833668961;0,0387358321778269;0,640743522430573;0,681157137915053;0,0854128445502215;0,0438786549715714;0,725812829241189;0,550390071736742;0,00802081076325899;0,00180872231608168;0,439780395183917;0,00277323991147531;4,36052909991751e-05;1,15079888074419e-05;0,00314877840706643;0,00766961651917404;0,518222978027832;0,00205971428579849
"ministre";-0,249738720703354;-0,663379304961357;-0,12516142910574;0,208919531338032;-0,333205902377683;-0,885092625227664;-0,166992634584672;0,278744204213732;0,12149262258109;0,794507335057697;0,0241662066508187;0,0598338357103936;0,00044155347694547;0,00311555470620187;0,000110905368748964;0,000309007933270818;0,00707964601769911;0,458095467218748;0,00148567403246983
"mettre";0,213565773083521;0,482130501075138;0,115738997803165;0,597981779902066;0,265092004166206;0,598452359450325;0,143662921473051;0,742254651578089;0,0871587191756811;0,411692240057313;0,0202719854956802;0,480877055271325;0,000376722567586233;0,00191993951677729;0,00011064142688775;0,00295348137305475;0,00825958702064897;0,462510181654263;0,00176685507603188
"ensemble";0,992114789556779;0,41463828923191;0,113994778685587;0,839030048952658;0,724889537611038;0,302955828217648;0,0832903846221101;0,613038038167711;0,596780096338854;0,0966106985155444;0,00623949899228761;0,300369706153314;0,00812984340955876;0,00142002876257246;0,000107331760440156;0,0058145132286944;0,00825958702064897;0,821107131259184;0,00556875332983222
"enfant";0,783691822799834;0,233712259437236;0,0738566738814484;0,733277234807546;0,711875309846467;0,212295167898281;0,0670885430649879;0,666080650002276;0,586315032627814;0,0483280551449477;0,00412391026125692;0,361233001965981;0,00471047041333525;0,000418925346753011;4,18362876689075e-05;0,00412391831276166;0,00766961651917404;0,654372238029478;0,00328415300103139
"combat";0,684217225029474;0,147361199762505;0,0546998511340185;0,682804300783743;0,698660291006974;0,150471831083723;0,0558545042616916;0,697217541499096;0,571792553582274;0,0245817454838657;0,00289409041050871;0,400731610523351;0,00303816243144387;0,000140925401268374;1,94175875250275e-05;0,0030256276370835;0,00648967551622419;0,578521922769267;0,0021720140214579
"société";-0,193290833873348;-0,6143785052253;-0,114290692387952;0,237560918502333;-0,277744281939001;-0,882815358354593;-0,16422706474743;0,341357039048389;0,0854441922589964;0,8000700011208;0,0236576211839293;0,0908281854362733;0,000308589292290476;0,00311767154428332;0,000107889718661502;0,000466131362829152;0,00825958702064897;0,422780599939523;0,00147634696141187
