"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"femme";-0,175;-0,037;-2,545;0,005;0,99
"droit";-3,989;0,163;-0,563;-1,09;1,255
"égalité";-1,253;19,8;-0,788;-0,342;-11,686
"agir";-1,253;0,248;0,147;-0,342;0,002
"prendre";-0,022;1,527;0,106;-0,363;-1,289
"loi";0,001;6,52;-0,694;-0,301;-4,435
"permettre";-1,253;-3,887;-0,788;1,691;6,324
"professionnel";-1,178;14,281;-0,74;-0,322;-7,721
"premier";0,001;4,129;3,425;-0,301;-6,906
"vie";2,123;5,902;-0,556;-0,242;-7,355
"homme";-1,104;2,282;-0,694;-0,301;-0,292
"violence";82,044;-3,942;-0,511;-0,222;-3,828
"politique";-1,03;-0,795;-0,647;2,312;1,674
"pays";-0,884;-1,036;-0,556;-0,242;3,568
"ministre";-0,813;2,542;-0,511;-0,222;-0,581
"mettre";0,032;-1,511;-0,601;-0,261;2,497
"ensemble";-0,957;-5,472;-0,601;-0,261;10,541
"enfant";-0,884;-2,536;-0,556;-0,242;6,072
"combat";-0,742;-1,372;-0,466;-0,203;3,877
"société";-0,957;2,387;-0,601;-0,261;-0,412
"social";-0,884;0,017;-0,556;-0,242;0,546
"liberté";-0,813;-10,104;-0,511;-0,222;16,128
"travail";-0,884;5,902;-0,556;-0,242;-2,439
"temps";-0,671;0,133;-0,422;-0,183;0,154
"gouvernement";-0,884;1,639;-0,556;-0,242;-0,169
"france";3,005;0,005;-0,466;-0,203;-0,271
"action";-0,884;-0,197;-0,556;-0,242;1,726
"rester";-0,742;1,732;-0,466;-0,203;-0,271
"fille";-0,742;-9,22;-0,466;-0,203;14,717
"cas";3,005;1,732;-0,466;-0,203;-3,116
"aller";-0,813;-3,942;0,673;-0,222;4,947
"également";-0,742;-9,22;-0,466;-0,203;14,717
"voir";0,19;6,551;-0,466;-0,203;-5,701
"simplement";-0,742;-5,831;-0,466;-0,203;10,329
"familial";0,19;-0,302;6,335;-0,203;-0,271
"année";0,29;8,804;-0,422;-0,183;-8,2
"état";-0,671;-0,877;-0,422;-0,183;2,875
"éducation";-0,671;-5,009;-0,422;-0,183;8,989
"vivre";-0,532;-6,616;-0,334;-0,145;10,56
"seulement";-0,671;-8,344;1,05;-0,183;8,989
"penser";-0,671;0,133;36,566;-0,183;-4,894
"lutte";-0,532;0,105;-0,334;-0,145;0,122
"grand";0,29;0,133;-0,422;-0,183;-0,067
"famille";-0,601;0;-0,378;-0,164;0,511
"venir";-0,532;3,144;-0,334;-0,145;-1,21
"problème";-0,601;4,226;-0,378;-0,164;-1,797
"particulier";-0,601;1,881;-0,378;-0,164;-0,43
"international";-0,532;0,105;-0,334;-0,145;0,122
"emploi";-0,601;1,881;-0,378;-0,164;-0,43
"domaine";-0,601;0,472;-0,378;-0,164;0,001
"tâche";-0,464;-2,651;-0,291;-0,127;5,106
"passer";-0,532;-1,263;-0,334;-0,145;3,239
"nom";0,867;4,991;-0,291;-0,127;-5,663
"monde";-0,464;-5,763;-0,291;-0,127;9,199
"jeune";-0,532;-6,616;-0,334;-0,145;10,56
"fois";0,611;-6,616;-0,334;-0,145;6,374
"fin";-0,532;0,105;25,117;-0,145;-3,33
