"";"banalfreq";"X.loc_chirac";"X.loc_hollande";"X.loc_mitterand"
"être";276;-1;1;1
"de";389;1;-1;1
"en";120;-1;1;1
"cette";39;-1;-1;1
"au";40;-1;-1;1
"l";177;-1;-2;2
"ces";30;1;1;-2
"la";234;1;-1;1
"premier";18;-1;-1;1
"avec";15;-1;-1;2
"tout";24;-1;-1;1
"qu";60;1;1;-1
"elle";25;-1;-1;1
"que";134;-1;2;-1
"les";228;-1;1;-1
"leur";35;-1;-1;1
"ne";71;-1;1;1
"pas";51;-1;1;-1
"non";15;-1;1;-1
"plus";44;-1;-2;2
"sans";11;2;-2;1
"action";13;1;-2;2
"des";169;-1;1;-1
"qui";110;2;1;-2
"droit";52;-1;-1;1
"mettre";15;1;-2;1
"d";118;-1;-2;2
"social";14;1;-1;1
"à";157;-2;1;1
"comme";18;-1;-1;1
"permettre";19;2;-1;-1
"c";58;-1;-1;1
"on";37;-1;-1;1
"devoir";32;1;1;-1
"une";82;-1;-1;1
"pouvoir";41;-1;1;-1
"aujourd_hui";17;-1;2;-1
"leurs";13;-1;-1;1
"société";14;-1;-1;1
"le";149;1;-2;2
"faire";52;-1;2;-1
"il";94;-1;-1;1
"se";29;2;-2;1
"mais";40;-1;1;-1
"agir";21;-1;2;-2
"seulement";10;-1;1;1
"j";21;-1;1;1
"ministre";16;-1;-1;1
"autres";13;1;-1;1
"gouvernement";13;-1;-1;2
"là";17;-1;1;1
"notre";18;-1;-2;2
"ou";35;1;-1;1
"un";69;1;-1;1
"prendre";20;1;1;-1
"voir";11;-1;-2;2
"falloir";15;1;-2;1
"savoir";17;1;-1;1
"s";31;1;-1;1
"dire";18;1;-1;1
"m";10;-1;-1;2
"année";11;-1;-2;2
"aux";23;-1;1;-1
"égalité";21;1;-1;1
"par";34;-1;1;-1
"professionnel";18;-1;-1;2
"alors";10;1;1;-1
"sur";27;-1;1;-1
"entre";10;-1;-1;1
"homme";17;-1;1;-1
"vie";17;1;-2;1
"si";18;-1;-1;1
"même";17;-1;-1;1
"souvent";11;-1;-2;2
"éducation";10;-1;1;1
"enfant";15;-1;1;1
"aller";12;-1;-1;2
"grand";10;2;-1;-1
"cas";12;-1;-1;1
"état";10;-1;-1;2
"lutte";10;1;1;-1
"contre";13;1;1;-1
"politique";16;-1;-1;1
"où";17;1;-1;-1
"dont";10;1;-2;1
"aussi";36;1;2;-2
"simplement";11;1;1;-1
"car";11;-1;1;-1
"liberté";14;-1;1;-1
"famille";10;1;-1;1
"familial";11;-1;-1;1
"ensemble";15;2;-1;-1
"penser";10;-1;2;-2
"loi";20;1;-1;-1
"donc";10;-1;2;-2
"pays";16;-1;2;-1
