"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"femme";1;1;1;0;1
"droit";1;1;1;0;1
"égalité";1;1;1;0,928;0,204
"loi";1;1;1;1;0
"vie";1;0,204;1;1;1
"homme";1;1;1;0,023;1
"violence";1;0;1;1;1
"politique";1;1;1;0,028;1
"pays";1;1;1;0,042;1
"ministre";1;1;1;1;0,027
"enfant";1;1;1;0,042;1
"combat";1;1;1;0,062;1
"société";1;1;1;0,144;1
"liberté";1;1;0,081;0,213;1
"travail";1;1;1;0,042;1
"temps";0,047;1;1;0,315;1
"gouvernement";0,101;1;1;1;0,245
"france";1;0,123;1;1;1
"action";1;1;1;0,042;1
"fille";1;0,755;1;0,259;1
"cas";0,063;1;1;1;0,573
"année";1;0,679;1;0,813;1
"état";1;1;1;0,813;0,476
"éducation";1;1;1;0,076;1
"lutte";1;1;0,021;0,47;1
"famille";1;1;1;0,093;1
"problème";1;1;1;1;0
"emploi";1;1;1;0,384;1
"domaine";1;1;1;0,093;1
"tâche";1;1;1;0,141;1
"nom";1;0,423;1;0,575;1
"monde";1;1;1;0,141;1
"fois";1;0,037;1;1;1
"fin";1;1;1;0,115;1
"exigence";1;1;1;1;0
"dignité";1;1;1;1;0
"corps";1;1;1;0,141;1
"cause";1;1;1;0,47;1
"autonomie";1;1;1;1;0
"victime";1;0;1;1;1
"serment";1;1;0,002;0,869;1
"rôle";1;1;1;0,706;0,765
"projet";1;1;1;1;0
"place";1;0,329;1;0,706;1
"nombre";1;1;1;0,706;0,765
"lieu";1;1;1;0,269;1
"situation";1;1;1;0,215;1
"sexe";1;1;1;0,174;1
"réforme";1;1;1;1;0,005
"question";1;1;1;0,174;1
"principe";1;1;1;0,174;1
"plan";1;1;1;0,174;1
"ivg";1;1;1;0,215;1
"formation";1;1;1;0,174;1
"exemple";1;1;1;0,174;1
"développement";1;1;1;0,174;1
"condition";1;1;1;0,174;1
"chômage";1;1;1;0,174;1
"statut";1;1;1;1;0
"salaire";1;1;1;0,215;1
"république";1;1;1;0,215;1
"réalité";1;0,235;1;1;0,618
"responsabilité";0,002;1;1;0,869;1
"prostitution";1;1;1;1;0,063
"progrès";1;1;1;0,869;0,618
"organisation";1;1;1;0,869;0,618
"oeuvre";1;1;1;0,215;1
"objectif";1;1;1;1;0,001
"moyen";1;1;1;0,215;1
"mouvement";1;1;1;0,269;1
"moment";1;1;1;0,215;1
"mois";1;0,235;1;0,869;1
"jour";1;1;1;1;0,001
"essentiel";1;1;1;1;0
"engagement";1;1;1;0,869;0,618
"discrimination";1;1;1;0,869;0,618
"cours";1;1;1;0,215;1
"conjoint";1;1;1;1;0,024
"chose";1;1;1;0,215;1
"choix";1;1;1;0,215;1
"activité";1;1;1;0,869;0,618
"acte";1;0;1;1;1
"étape";1;1;1;1;0
"école";1;0,144;1;1;1
"service";1;1;1;0,269;1
"reconnaissance";1;1;1;1;0,024
"protection";1;1;1;0,269;1
"programme";1;1;1;0,269;1
"police";1;0,144;1;1;1
"part";1;1;1;0,339;1
"objet";1;0,001;1;1;0,454
"mère";1;1;0;1;1
"mesure";1;1;1;0,269;1
"législation";1;1;1;0,269;1
"inégalité";1;1;1;0,269;1
"information";1;1;1;0,269;1
"façon";1;0,001;1;1;1
"décision";0;1;1;1;1
"doute";1;1;1;1;0,454
"disposition";1;0,001;1;1;0,454
"collectif";1;1;1;1;0,454
"chemin";1;1;0;1;1
"accès";1;1;1;0,269;1
"égard";1;1;1;1;0,279
"âge";1;1;1;0,339;1
"à_juste_titre";1;0,066;1;1;1
"yvetteroudy";1;1;1;1;0,279
"voie";1;1;1;0,339;1
"viol";1;0,066;1;1;1
"versement";0;1;1;1;1
"valeur";1;0,066;1;1;0,279
"traitement";1;1;1;0,339;1
"terme";1;1;1;1;0,279
"simonedebeauvoir";1;1;1;0,339;1
"régime";1;1;1;0,339;1
"réduction";1;1;1;0,339;1
"règle";1;1;1;1;0,005
"respect";1;1;1;1;0,279
"quota";1;1;1;0,339;1
"présent";1;1;1;0,339;1
"pierremauroy";1;1;1;1;0,279
"nation";1;1;1;0,339;1
"mixité";1;1;1;1;0,279
"mari";1;1;1;0,339;1
"manière";1;0,066;1;1;1
"ligne";1;1;1;0,339;1
"internet";1;1;1;1;0,279
"initiative";1;1;0;1;0,279
"guerre";1;0;1;1;1
"garçon";1;1;1;0,339;1
"forme";1;1;1;1;0,279
"fait";1;1;1;1;0,279
"effort";1;1;1;1;0,279
"domestique";1;0,066;1;1;1
"crise";1;1;1;0,339;1
"convention";1;0,066;1;1;1
"contraception";1;1;1;0,339;1
"conseil";1;0,066;1;1;0,279
"changement";1;1;1;1;0,279
"association";1;1;1;1;0,279
"agriculteur";1;1;1;1;0,005
"*loc_mitterand";0,094;1;1;0,689;0,026
"*date_1982";0,094;1;1;0,689;0,026
"*loc_chirac";1;0,001;0,005;1;1
"*date_2006";1;0,001;0,005;1;1
"*loc_hollande";1;0,181;0,413;0,314;1
"*date_2017";1;0,181;0,413;0,314;1
