"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"femme";-4,186;-0,734;-0,001;19,551;-16,989
"droit";-1,161;-4,584;-1,161;15,695;-6,428
"égalité";-0,361;-1,427;-0,361;0,008;1,616
"loi";-0,318;-0,008;-0,318;-7,043;15,059
"vie";-0,255;1,614;-0,255;0;-0,309
"homme";-0,318;-1,256;-0,318;5,175;-2,502
"violence";-0,234;93,322;-0,234;-19,271;-1,841
"politique";-0,297;-1,172;-0,297;4,828;-2,335
"pays";-0,255;-1,006;-0,255;4,144;-2,004
"ministre";-0,234;-0,924;-0,234;-0,752;4,897
"enfant";-0,255;-1,006;-0,255;4,144;-2,004
"combat";-0,213;-0,843;-0,213;3,473;-1,679
"société";-0,276;-1,088;-0,276;2,138;-0,413
"liberté";-0,234;-0,924;3,038;1,554;-1,841
"travail";-0,255;-1,006;-0,255;4,144;-2,004
"temps";3,953;-0,763;-0,193;1,009;-1,52
"gouvernement";2,689;-1,006;-0,255;-0,46;1,352
"france";-0,213;2,376;-0,213;-0,115;-0,134
"action";-0,255;-1,006;-0,255;4,144;-2,004
"fille";-0,213;0,097;-0,213;1,276;-1,679
"cas";3,453;-0,843;-0,213;-0,115;0,318
"année";-0,193;0,171;-0,193;0,056;-0,067
"état";-0,193;-0,763;-0,193;0,056;0,509
"éducation";-0,193;-0,763;-0,193;3,142;-1,52
"lutte";-0,153;-0,604;5,337;0,523;-1,204
"famille";-0,173;-0,683;-0,173;2,815;-1,361
"problème";-0,173;-0,683;-0,173;-10,042;24,723
"emploi";-0,173;-0,683;-0,173;0,757;-0,021
"domaine";-0,173;-0,683;-0,173;2,815;-1,361
"tâche";-0,133;-0,526;-0,133;2,169;-1,049
"nom";-0,133;0,642;-0,133;0,315;-1,049
"monde";-0,133;-0,526;-0,133;2,169;-1,049
"fois";-0,153;4,352;-0,153;-0,017;-1,204
"fin";-0,153;-0,604;-0,153;2,49;-1,204
"exigence";-0,094;-0,373;-0,094;-17,052;35,262
"dignité";-0,153;-0,604;-0,153;-7,267;18,628
"corps";-0,133;-0,526;-0,133;2,169;-1,049
"cause";-0,153;-0,604;-0,153;0,523;0
"autonomie";-0,114;-0,449;-0,114;-12,615;27,833
"victime";-0,133;99,278;-0,133;-24,097;-1,049
"serment";-0,094;-0,373;9,524;0,027;-0,742
"rôle";-0,114;-0,449;-0,114;0,143;0,089
"projet";-0,094;-0,373;-0,094;-17,052;35,262
"place";-0,114;0,951;-0,114;0,143;-0,895
"nombre";-0,114;-0,449;-0,114;0,143;0,089
"lieu";-0,075;-0,297;-0,075;1,222;-0,591
"situation";-0,094;-0,373;-0,094;1,535;-0,742
"sexe";-0,114;-0,449;-0,114;1,85;-0,895
"réforme";-0,114;-0,449;-0,114;-2,518;7,768
"question";-0,114;-0,449;-0,114;1,85;-0,895
"principe";-0,114;-0,449;-0,114;1,85;-0,895
"plan";-0,114;-0,449;-0,114;1,85;-0,895
"ivg";-0,094;-0,373;-0,094;1,535;-0,742
"formation";-0,114;-0,449;-0,114;1,85;-0,895
"exemple";-0,114;-0,449;-0,114;1,85;-0,895
"développement";-0,114;-0,449;-0,114;1,85;-0,895
"condition";-0,114;-0,449;-0,114;1,85;-0,895
"chômage";-0,114;-0,449;-0,114;1,85;-0,895
"statut";-0,094;-0,373;-0,094;-17,052;35,262
"salaire";-0,094;-0,373;-0,094;1,535;-0,742
"république";-0,094;-0,373;-0,094;1,535;-0,742
"réalité";-0,094;1,412;-0,094;-0,825;0,248
"responsabilité";9,524;-0,373;-0,094;0,027;-0,742
"prostitution";-0,094;-0,373;-0,094;-0,825;3,454
"progrès";-0,094;-0,373;-0,094;0,027;0,248
"organisation";-0,094;-0,373;-0,094;0,027;0,248
"oeuvre";-0,094;-0,373;-0,094;1,535;-0,742
"objectif";-0,094;-0,373;-0,094;-3,929;10,358
"moyen";-0,094;-0,373;-0,094;1,535;-0,742
"mouvement";-0,075;-0,297;-0,075;1,222;-0,591
"moment";-0,094;-0,373;-0,094;1,535;-0,742
"mois";-0,094;1,412;-0,094;0,027;-0,742
"jour";-0,094;-0,373;-0,094;-3,929;10,358
"essentiel";-0,094;-0,373;-0,094;-17,052;35,262
"engagement";-0,094;-0,373;-0,094;0,027;0,248
"discrimination";-0,094;-0,373;-0,094;0,027;0,248
"cours";-0,094;-0,373;-0,094;1,535;-0,742
"conjoint";-0,075;-0,297;-0,075;-1,663;5,131
"chose";-0,094;-0,373;-0,094;1,535;-0,742
"choix";-0,094;-0,373;-0,094;1,535;-0,742
"activité";-0,094;-0,373;-0,094;0,027;0,248
"acte";-0,075;55,946;-0,075;-13,579;-0,591
"étape";-0,075;-0,297;-0,075;-6,187;14,304
"école";-0,075;2,136;-0,075;-0,008;-0,591
"service";-0,075;-0,297;-0,075;1,222;-0,591
"reconnaissance";-0,075;-0,297;-0,075;-1,663;5,131
"protection";-0,075;-0,297;-0,075;1,222;-0,591
"programme";-0,075;-0,297;-0,075;1,222;-0,591
"police";-0,075;2,136;-0,075;-0,008;-0,591
