month,avg_temperature,total_precipitation
2022-01,14.7986731302244,27.8622994921027
2022-02,13.9421756949668,38.3749644116124
2022-03,16.0968102452697,39.140527652236
2022-04,14.8649795419571,30.2165592335819
2022-05,12.6498302348091,27.6852657643553
2022-06,16.0645210368988,23.5513665007948
2022-07,14.6510776932988,25.9148012651046
2022-08,16.2708559152506,35.9753554169775
2022-09,14.8823440330984,23.9225293532869
2022-10,14.642191348669,35.4972407801091
2022-11,14.1599153187577,26.5361605820754
2022-12,14.7478095614704,29.842934544073
