"";"X.loc_chirac";"X.loc_hollande";"X.loc_mitterand"
"premier";0;23,53;27,46
"femme";70,42;223,53;146,45
"combat";98,59;27,45;2,29
"action";28,17;0;25,17
"droit";56,34;66,67;70,94
"mettre";28,17;7,84;25,17
"social";28,17;7,84;22,88
"permettre";70,42;23,53;18,31
"société";0;11,76;25,17
"agir";14,08;47,06;18,31
"rester";0;0;27,46
"seulement";0;15,69;13,73
"ministre";0;15,69;27,46
"également";14,08;31,37;4,58
"gouvernement";0;7,84;25,17
"prendre";28,17;31,37;22,88
"voir";14,08;0;22,88
"année";14,08;0;22,88
"égalité";42,25;15,69;32,04
"professionnel";0;11,76;34,32
"homme";14,08;31,37;18,31
"vie";42,25;7,84;27,46
"travail";0;0;29,75
"éducation";0;15,69;13,73
"enfant";0;23,53;20,59
"aller";0;7,84;22,88
"grand";42,25;7,84;11,44
"cas";0;15,69;18,31
"état";0;3,92;20,59
"lutte";28,17;15,69;9,15
"politique";14,08;19,61;22,88
"temps";0;0;29,75
"simplement";28,17;19,61;9,15
"vivre";56,34;11,76;6,86
"liberté";14,08;19,61;18,31
"famille";14,08;3,92;18,31
"familial";14,08;7,84;18,31
"ensemble";56,34;15,69;16,02
"penser";0;27,45;6,86
"loi";42,25;23,53;25,17
"violence";98,59;27,45;4,58
"pays";0;39,22;13,73
"france";0;47,06;2,29
"fille";28,17;39,22;0
